Timestamp,Q1. What is your gender?,Q2. What is your current year of study?,Q3. What is your department / faculty?,Q4. Where do you currently live during the academic term?,Q5. Do you work part-time while studying?,"Q6. On average, how many hours do you sleep per night on weekdays?",Q7. What time do you usually go to bed on weekdays?,Q8. How often do you feel sleepy or tired during classes or study sessions?,Q9. How would you rate the overall quality of your sleep?,Q10. What is the main reason you stay up late at night? (If applicable),Q11. How many days per week do you engage in deliberate physical exercise?,"Q12. On days you exercise, how long is your typical session?",Q13. How much do you walk or move around on a typical day (excluding deliberate exercise)?,Q14. Do you believe regular physical activity positively affects your academic productivity?,Q15. How many meals do you typically eat per day?,Q16. Do you regularly skip breakfast?,Q17. How often do you consume fast food or processed junk food?,Q18. How much water do you drink on a typical day?,"Q19. How often do you consume caffeinated drinks (tea, coffee, energy drinks) to stay alert while studying?",Q20. How many hours per day do you spend on social media for non-academic purposes?,Q21. Do you use your phone or browse social media while studying?,Q22. To what extent do you feel social media distracts you from your academic responsibilities?,Q23. Do you use your phone for 30+ minutes immediately before going to sleep?,Q24. How often do you feel stressed or overwhelmed due to academic pressure?,Q25. What are your main sources of stress? (Select all that apply),Q26. How do you usually manage stress? (Select all that apply),Q27. How often do you feel anxious or low in mood in a typical week?,Q28. Does stress or poor mental health affect your ability to concentrate and study?,Q29. How many hours per week do you spend on leisure or hobbies (excluding screen time)?,Q30. How many hours per day do you dedicate to self-study outside class on a typical weekday?,Q31. How would you rate your overall academic productivity on a typical day?,Q32. Do you often procrastinate or delay starting academic tasks?,Q33. Rate how much each lifestyle factor affects your academic productivity: [Sleep quality & duration],Q33. Rate how much each lifestyle factor affects your academic productivity: [Physical exercise habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Diet & eating habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Social media & screen time],Q33. Rate how much each lifestyle factor affects your academic productivity: [Stress & mental health],Q34. Which single lifestyle factor do you think most negatively impacts your productivity?,Q35. Is there anything else you would like to share about how your lifestyle affects your productivity at NSTU? (Optional),Name,Score
29/03/2026 13:16:57,Male,3rd Year,Iit,University hall / dormitory,Occasionally,Less than 5 hours,After 2:00 AM,Almost every day,1,Using social media / watching content,1–2 days,Less than 20 minutes,Very little — mostly sitting,Strongly agree,3 meals,Usually,Almost daily,1–2 litres,Occasionally,Less than 1 hour,Never,1,"Yes, always",Never,Exam pressure and assignment deadlines,Exercise or physical activity,Never,Strongly agree,Less than 2 hours,Less than 1 hour,1,Never,1,2,2,2,3,Poor sleep,,,
29/03/2026 21:28:31,Male,1st Year,IIS ,Rented mess / house near campus,No,6–7 hours,After 2:00 AM,Rarely (1–2 times/week),2,Unable to sleep (insomnia / overthinking),1–2 days,Less than 20 minutes,Light walking around campus,Neutral,2 meals,Rarely,1–2 times per week,1–2 litres,Daily (1 cup),3–4 hours,Rarely,1,Rarely,Often,Exam pressure and assignment deadlines,Listening to music,1–2 days,Agree,Less than 2 hours,1–2 hours,2,Often,2,2,2,2,2,Unhealthy diet,,,
30/03/2026 11:39:37,Male,3rd Year,IIT,University hall / dormitory,No,7–8 hours,10:00 PM – 12:00 AM,Almost every day,3,Studying or completing assignments,1–2 days,Less than 20 minutes,Light walking around campus,Agree,2 meals,Never,Rarely or never,2–3 litres,Multiple times per day,More than 4 hours,Often,1,"Yes, but briefly (under 15 min)",Often,Exam pressure and assignment deadlines,Scrolling social media,1–2 days,Neutral,2–5 hours,1–2 hours,3,Sometimes,2,2,3,2,2,Lack of exercise,Yes,,
30/03/2026 12:00:50,Male,2nd Year,Software Engineering,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),4,I don't usually stay up late,5 or more days,Less than 20 minutes,Moderate — walk or commute regularly,Strongly agree,3 meals,Never,Rarely or never,1–2 litres,Occasionally,Less than 1 hour,Rarely,4,No,Sometimes,"Exam pressure and assignment deadlines, Financial problems, Family expectations","Exercise or physical activity, Talking to friends or family, Listening to music, Scrolling social media, Sleeping or resting, Prayer / religious practice",3–4 days,Strongly agree,5–10 hours,Less than 1 hour,1,Almost always,4,4,4,5,5,Stress and anxiety,,,
30/03/2026 12:01:12,Male,2nd Year,Software Engineering ,Rented mess / house near campus,No,6–7 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),3,Unable to sleep (insomnia / overthinking),1–2 days,Less than 20 minutes,Very little — mostly sitting,Strongly agree,2 meals,Sometimes,Rarely or never,1–2 litres,Daily (1 cup),1–2 hours,Sometimes,2,"Yes, always",Sometimes,Future career uncertainty,Talking to friends or family,1–2 days,Strongly agree,2–5 hours,1–2 hours,4,Sometimes,4,4,4,4,5,Poor sleep,"Dedicated,Consistent and Disciplined ",,
30/03/2026 12:07:29,Male,2nd Year,Software Engineering,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,After 2:00 AM,Never,4,Studying or completing assignments,5 or more days,20–45 minutes,Moderate — walk or commute regularly,Strongly agree,2 meals,Never,1–2 times per week,1–2 litres,Occasionally,3–4 hours,Often,2,"Yes, always",Rarely,Future career uncertainty,"Talking to friends or family, Listening to music, Scrolling social media, Prayer / religious practice",1–2 days,Strongly agree,Less than 2 hours,2–4 hours,3,Rarely,3,4,2,4,1,Stress and anxiety,No,,
30/03/2026 12:17:38,Male,2nd Year,IIT,Rented mess / house near campus,No,6–7 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),4,Studying or completing assignments,5 or more days,Less than 20 minutes,Quite active throughout the day,Agree,2 meals,Usually,Rarely or never,2–3 litres,Occasionally,1–2 hours,Rarely,2,"Yes, but briefly (under 15 min)",Often,I don't feel significantly stressed,Sleeping or resting,1–2 days,Agree,Less than 2 hours,1–2 hours,3,Sometimes,3,4,4,1,2,Poor sleep,Increase the instrument and make a Gym,,
30/03/2026 12:37:53,Male,2nd Year,Software Engineering ,Rented mess / house near campus,No,6–7 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),5,I don't usually stay up late,5 or more days,20–45 minutes,Light walking around campus,Agree,3 meals,Rarely,Rarely or never,1–2 litres,Occasionally,1–2 hours,Sometimes,3,"Yes, always",Often,"Exam pressure and assignment deadlines, Relationship or social issues, Future career uncertainty","Exercise or physical activity, Talking to friends or family, Prayer / religious practice",1–2 days,Neutral,Less than 2 hours,2–4 hours,3,Sometimes,5,4,5,3,3,Excessive social media / screen time,,,
30/03/2026 12:38:11,Female,1st Year,IIt,Rented mess / house near campus,No,7–8 hours,12:00 AM – 2:00 AM,Never,5,Unable to sleep (insomnia / overthinking),3–4 days,Less than 20 minutes,Quite active throughout the day,Agree,2 meals,Always,1–2 times per week,1–2 litres,Daily (1 cup),1–2 hours,Never,4,"Yes, always",Often,"Exam pressure and assignment deadlines, I don't feel significantly stressed",Talking to friends or family,3–4 days,Strongly disagree,More than 10 hours,More than 4 hours,1,Often,2,2,2,3,2,Lack of exercise,,,
30/03/2026 12:43:32,Female,1st Year,Software Engineering ,University hall / dormitory,Occasionally,5–6 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),2,Using social media / watching content,1–2 days,20–45 minutes,Light walking around campus,Agree,3 meals,Rarely,Almost daily,1–2 litres,Occasionally,More than 4 hours,Often,5,"Yes, always",Almost always,Exam pressure and assignment deadlines,Scrolling social media,3–4 days,Strongly agree,Less than 2 hours,2–4 hours,2,Almost always,4,3,4,4,4,Excessive social media / screen time,,,
